iter	Passed	Remaining
0	41	4105
1	77	3811
2	107	3477
3	128	3087
4	161	3065
5	193	3028
6	197	2626
7	222	2553
8	223	2255
9	253	2282
10	283	2292
11	320	2348
12	347	2328
13	378	2324
14	410	2324
15	441	2319
16	455	2225
17	490	2232
18	522	2229
19	549	2196
20	549	2068
21	577	2047
22	605	2027
23	638	2022
24	660	1982
25	694	1978
26	695	1880
27	695	1789
28	698	1709
29	730	1703
30	755	1682
31	785	1669
32	830	1685
33	872	1693
34	908	1687
35	943	1677
36	975	1660
37	1002	1635
38	1031	1613
39	1057	1585
40	1092	1572
41	1120	1546
42	1152	1527
43	1188	1512
44	1192	1457
45	1223	1435
46	1250	1409
47	1284	1391
48	1306	1359
49	1339	1339
50	1369	1316
51	1406	1298
52	1441	1278
53	1472	1254
54	1502	1229
55	1535	1206
56	1558	1175
57	1559	1129
58	1587	1103
59	1615	1076
60	1635	1045
61	1654	1013
62	1683	988
63	1713	964
64	1749	942
65	1763	908
66	1791	882
67	1806	849
68	1834	824
69	1866	800
70	1898	775
71	1930	750
72	1962	725
73	1988	698
74	2017	672
75	2050	647
76	2085	623
77	2115	596
78	2138	568
79	2170	542
80	2190	513
81	2216	486
82	2239	458
83	2260	430
84	2287	403
85	2318	377
86	2344	350
87	2376	324
88	2396	296
89	2430	270
90	2460	243
91	2492	216
92	2530	190
93	2561	163
94	2597	136
95	2627	109
96	2662	82
97	2684	54
98	2710	27
99	2742	0
